,objek wisata,ulasan,atraksi,amenitas,aksesibilitas
2825,gunung mas mantup,Tidak ada fasilitas tempat duduk yang nyaman di objek wisata ini,,negatif,
1522,gunung pegat,kulinernya mantap,,positif,
1468,gunung pegat,"Tempat bagus ,pemandangan indah",positif,,
2820,gunung pegat,Tidak ada daya tarik yang unik di objek wisata ini.,negatif,,
875,goa maharani,"Kebun binatang bersih, binatang ny y lumayan lengkap, tempat ny gak begitu luas tp lumayan buat sekedar piknik bersama kelg.",positif,positif,
1819,pantai lorena,Bagus bersih cocok untuk bersama keluarga apalagi ada anak kecil,,positif,
2854,wbl,"Pemandangan di sepanjang jalan sangat menakjubkan, dan yang lebih baik lagi, jalan tidak rusak",positif,,positif
97,alun alun,"Banyak yg baru mainannya, anak2 senang..",positif,,
968,goa maharani,Pernah kesana jujur pelayanan bagus dan tempatnya luas dan lega banget salah satu tempat paling berkesan selama liburan ke pulau jawa,positif,positif,
2034,waduk gondang,Tempat yang nyaman untuk sekedar bersantai dengan keluarga,,positif,
1286,gunung pegat,"Bagus
Akses jalan sudah rapi
Tiket masuk terjangkau
Fasilitas mck ada
Mushola ada
Penjual makanan dan minuman ada
Lokasi nya bisa terlihat dari jalan raya via google map tidak nyasar
Cocok utk anak-anak
Banyak spot photo yg keren",positif,positif,positif
2800,pantai kutang,"Jalan menuju objek wisata ini memiliki kondisi yang sangat buruk, penuh dengan gelombang yang mengganggu perjalanan.",,,negatif
1192,gunung mas mantup,"Murah, nyaman..",,positif,
2204,wbl,tolong dong dibikin rute satu arah atau gimana kek. Biar nggak muter² balik lagi kesana sini karena ada yg terlewat.,,,negatif
731,alun alun,Jukir mantab krn karcisnya ditulis nopol tp knp tarifnya mahal sperti harga parkir dimall...,,negatif,
2628,wbl,Letak wisata bahari Lamongan di jalur pantura membuatnya mudah diakses oleh berbagai jenis kendaraan,,,positif
867,goa maharani,Deket dengan WBL (wisata bahari lamongan) mudah di akses..,,,positif
1218,gunung mas mantup,"Monggo, dilihat dan dinikmati pemandangannya.",positif,,
1591,pantai kutang,"Murah sekali, jadi sebanding sama harga yang dibayar. Pantainya sempit, jangan berekspekstasi lebih.",negatif,,
779,alun alun,"Tempat yg nyaman untuk bersantai bersama anak-anak dan keluarga,banyak arena bermain anak yang gratis, kulinernya banyak dan beragam",positif,positif,
976,goa maharani,Asikkk...nyaman…,positif,positif,
1991,waduk gondang,Okeeeeh,,,
64,alun alun,Rekomen bgt bagi yang gabut-gabut pengen duduk² santai. Atau para buibu yang mencari rekreasi murmer untuk anak-anaknya. Sekarang taman di lain alun semakin sedap di pandang. Jajanan - jajanan juga sudah ditertibkan jadi sudah tidak pusing lagi dengan PKL- PKL. tetap jaga kebersihan yaaa....,positif,positif,
496,alun alun,Banyak mainan rusak dan tdk layak pakai. Bisa bahaya untuk anak2 kecil.,,negatif,
1259,gunung mas mantup,kata kata yang ada pada papan di area wisata kurang pantas,negatif,,
1855,pantai lorena,"Bagus, nyaman tidak ada sampah, gratis",,positif,
2081,waduk gondang,Bagus,,,
406,alun alun,"kalau bisa di tengah dikasih pohon lagi, panasss",,negatif,
288,alun alun,Sanggat indah  dan yaman  teruta buat anak2 main di sini,positif,,
1018,goa maharani,"tolong diperhatikan untuk makanan para hewannya, saya liat video harimau yg sedang viral kenapa sangat kurus, kasian liatnyaaa, kalo memang tidak diurus lebih baik dilepaskan ke alam liar",negatif,,
31,alun alun,Bagus skrg tertata dg rapi....paling bagus utk menghabiskan minggu pagi dg keluarga dan anak2 karna banyak mainan anak dan area yg luas dan banyak jajanan pokoknya bagus,positif,positif,
1101,goa maharani,Wahana esukasi buat anak2,positif,,
817,alun alun,"Kalau ke alun alun kota Lamongan, yang saya ingat pasti nasi boran nya...",positif,,
199,alun alun,"Bisa buat santai bareng keluarga,, sayang kebersihannya tidak terjaga,",positif,negatif,
2696,wego,tempat wisata untuk keluarga,positif,,
309,alun alun,"Tempat ini sangatlah nyaman enk buat main dan jln2 ma klrg.
Didukung dgn byknya mainan anak2 saat mlm hari...pokoknya djmin happy daahh.
oooo...yaaa jgn lupa disini/ alon2 sugio byk para pedagang kaki lima dgn varian menu alias masakan dan mknn ringan.",positif,positif,
966,goa maharani,Ok bagusbagus aja. Hewan terawat dengan sangat baik,positif,,
2583,wbl,"Arena permainan dgn pemandangan laut lepas.agak panas,kurang pohon.tapi lumyan terbantu dgn gazebo pinggir laut.",positif,positif,
1352,gunung pegat,"Asyik, wisata di pegunungan, udaranya segar, anak anak juga suka",positif,,
1219,gunung mas mantup,Lokasi wisata yg murah meriah dengan pemandangan yang bagus buat yang suka selfi,positif,,
365,alun alun,"Sangat menarik untuk dikunjungi, alun-alun yang mengadopsi dengan tema kekinian ini cocok untuk anda muda mudi.",positif,,
673,alun alun,Bersih rapih aman,,positif,
24,alun alun,"Kirim barang tengah hujan ....melihat anak2 bermain teringat anak2 waktu kecil
Kirim galvalum",positif,,
2371,wbl,"Wisata Bahari, Edukasi, wahana permainan dan Sejarah Budaya",positif,,
1221,gunung mas mantup,Bagus dn nyaman untuk anak2 buat foto2,positif,positif,
799,alun alun,"
Khas dari kota Lamongan , Adalah Nasi Boran ",positif,,
66,alun alun,"Fasilitas banyak yg rusak, perlu perbaikan & perawatan , untuk area bermain anak2 bayak yg tidak terawat,",,negatif,
1510,gunung pegat,Soto nya maknyus khas sekali,positif,,
2702,wego,Cocok bersama keluarga,positif,,
2542,wbl,"Tempat wisata dgn banyak pemainan anak²,dewasa dan ada juga satwa tempat edukasi anak.cocok untuk keluarga dan muda mudi.lokasi panas terik matahari,kurang pepohonan...bawa bekal di ijinkan.untuk yg gak bawa bekal tenang aja,makanan disini gak mahal kayak di wahana wisata lain yg setara.",positif,positif,
211,alun alun,Tempat yang cocok untuk membawa anak bagi yang sudah berkeluarga,positif,,
354,alun alun,"Semakin bagus , option mainaan juga tambah banyak dan keren"" ...",positif,,
1120,goa maharani,tempat wisata yang bersih dan nyamam...,,positif,
2562,wbl,Tempat representatif untuk hiburan bersama keluarga,positif,,
1822,pantai lorena,Tiap minggu nongkrong disini di warung pinggir enak buat refressing dari kerjaan,,positif,
1726,pantai lorena,"Tempatnya cocok untuk menikmati syaduhnya ombak, dan gratis",positif,,
2168,wbl,"Sekarang udh bagus dri sebelumnya ,, walaupun msh ada wahana yang maintenance",positif,,
836,alun alun,Sarapan soto daging di pojok alun alun lamongan mantap,positif,,
2841,wego,Papan petunjuk arah  tidak akurat atau tidak update jadi bingung,,,negatif
1985,waduk gondang,"Tempatnya cocok buat berkemah,,, karna waduk gondang memang d bangun buat tempat berkemah",positif,,
2722,wego,Lumayan buat wisata keluarga,positif,,
1363,gunung pegat,Jalan menuju ke gunung ad tanjakan yg mmbuat degdegse,,,negatif
1172,gunung mas mantup,"Gunung Mas 27 spot foto bagus.krn musim kemarau jd panas tapi masih sejuk krn tiupan angin di alam terbuka dan air di kolam surut jadi gak bisa naik perahu.ukir2an di rumah kayu istana keren.lengkap ada mushola, big market, ada food court, tempat sampah disediakan di banyak tempat, wastafel cuci tangan juga banyak.toilet bersih.",positif,positif,
1130,goa maharani,Tempat wisata+edukasi,positif,,
1600,pantai kutang,"Keren pantai nya, recomended lah untuk yg suka wisata ke pantai",positif,,
2428,wbl,Tempat mulai rusak,negatif,,
61,alun alun,"Sama seperti alun alun di kota lainnya, cuma kalau kemarin saya lewat dan mengitari alun alun lamongan tampak lebih bersih dari sampah aja sih, semoga kesadaran dari setiap warga sekitar meningkat akan dampak buruk dari buang sampah sembarangan",,positif,
110,alun alun,tempatnya luas banyak aktifitas yang bisa dilakukan (mainan anak juga banyak) tapi kebersihan bisa lebih ditingkatkan,positif,negatif,
2315,wbl,Bagus dan bersih,,positif,
128,alun alun,"Bersih , rapi , banyak arena bermain , dan banyak spot foto bagus",positif,positif,
2290,wbl,Jual keliling,,,
54,alun alun,"saat ini fasilitas-fasilitas banyak yang rusak namun tidak dilakukan perbaikan maupun peningkatan. Kondisi pandemi saat ini mungkin sebagai alasan menunda perbaikannya, namun kami yg pernah menjadi warga Lamongan berharap agar dapat direalisasikan dan tentunya tetap memperhatikan aspek kesehatan.",,negatif,
1154,goa maharani,Tempanya pas untuk weekend bersama keluarga,positif,,
1539,gunung pegat,Bagus untuk hunting sunrise,positif,,
802,alun alun,Tempat yg bersih dan buat refreshing serta penjual nasi boran khas lamongan berjejer dgn senyum ramah menyapa... Tempat yg harus disinggahi ya bro...,positif,,
2110,waduk gondang,fasilitas perlu mendapat perhatian lebih......,,negatif,
735,alun alun,Udah bagus tapi masih banyak yang buang sampah sembarangan,,negatif,
2045,waduk gondang,Suka...skrg lumayan bagus tp msh krg perawatan..,positif,negatif,
1500,gunung pegat,Adeemm #GP,,,
1225,gunung mas mantup,Lumayan bagus tapi kurang rindang terkesan agak panas,,negatif,
2355,wbl,Tempat wisata di kawasan Pantura yang memanjakan banget asyik deh pokonya ...berbagai wahana mainan ada di sini,positif,,
1010,goa maharani,"Nyaman, ramah anak. Banyak koleksi binatangnya. Bersih.",positif,positif,
1328,gunung pegat,"Tempat nya luar biasa Bagus nya, fasilitas nya juga memanjakan pengunjung. Cocok untuk yang mau camping, pecinta gowes, anak-anak, maupun orang tua.
Setiap Minggu pagi juga ada pasar kuliner nya.",positif,positif,
537,alun alun,Ada bianglalanya.. Dengan dengan masjid agung...,positif,positif,
115,alun alun,"Tempat yang sangat menarik, dan patut diacungi  jempol. ",positif,,
1774,pantai lorena,Nyaman dan cocok untuk bersantai,,positif,
1390,gunung pegat,"Tempat wisata yang murah dengan view yang mewah
Sekarang sudah lengkap dengan fasilitas dan pembangunanya
Semoga selalu terjaga dengan baik oleh pengelola maupun para wisatawanya",positif,positif,
1553,pantai kutang,"Untuk rekreasi lokal sudah sangat baik, akses masuk lumayan baik jalannya, tiket pun murah hanya 5000 rupiah, lgsung melewati jembatan kayu diatas laut sejauh 430meter,  dg view untuk foto selfi tau kluarga amat baik, toilet pun bersih2 tarip 2000 .
Bisa mandi2 untuk anak ( dipandu orangtua tentunya).",positif,positif,positif
2490,wbl,mantap,,,
2721,wego,"Wisata Wego Lamongan merupakan pesona wisata keluarga. Memperkenalkan transportasi pesawat terbang, wahana, dll",positif,,
729,alun alun,Ramai banyak permainan,positif,,
2827,,Amenitas toilet di objek wisata ini sangat minim dan tidak memadai.,,negatif,
1229,gunung mas mantup,"Tempat yg sejuk dan indah,cocok untuk keluarga bersantai",positif,,
2346,wbl,"Semakin bagus. Semakin banyak wahana permainannya
Untuk fasilitasnya juga lengkap dari toilet mushola . Kemarin kesini tiket masuk 75rb udh free semua wahana
See you next time",positif,positif,
307,alun alun,"Sangat bagus untuk anak2, bersih dan indah",positif,positif,
1459,gunung pegat,Katanya bisa putus hubungan asmara kl lewatin gunung pegat?,,,
78,alun alun,"Tempatnya bagus, bersih, udara sejuk, banyak mainan cocok untuk wisata bareng temen atau kluarga. Wisata hemat heheh..",positif,positif,
2757,wego,Keren.,,,
2597,wbl,Bagus ....wahananya tambah bervariasi,positif,,
2812,gunung pegat,"Jalan yang rata dan tidak bergelombang, namun fasilitas di objek wisata ini sangat mengecewakan.",,negatif,positif
1666,pantai kutang,Mayan,,,
2037,waduk gondang,tempat yang cocok buat bersantai dengan keluarga,positif,,
7,alun alun,"Bagus, bersih, tiap minggu pagi ada acara MinCe (Minggu Ceria) dan banyak penjual disekitar alun-alun.
Cocok untuk olahraga juga. Didekatnya ada Masjid Agung Lamongan.",positif,positif,
880,goa maharani,"Tiket masuk standart. Yg menyenangkan petugas nya smua ramah, fasilitas lengkap",,positif,
1196,gunung mas mantup,"Tempatnya bagus, sangat luas, dan sangat bersih juga, tiket masuknya pun cukup murah.",,positif,
895,goa maharani,"Kesini pas libur nasional hari senin, sehari sebelumnya WA adminnya, dan responnya ramah.. Masuk zoo aja 40rb. Didalem ada permainan anak dan ada kolam renang juga. Walopun udaranya panas, tapi rimbun dan banyak kursi untuk istirahat..",positif,positif,
716,alun alun,Alun alun ini sangat bagus tempatnya sejuk dan indah,positif,,
126,alun alun,"Tempat luas,bersih,komplit,ada taman bermain,dekat masjid,dan kuliner,yang paling menarik bianglalanya free",positif,positif,
2392,wbl,"Disini panas banget siapin topi. Suka tempatnya bagus, sayangnya es krim kebanyakan cepet bgt abis siang jam 12 aja dah habis smua.",positif,negatif,
1423,gunung pegat,"Tempat yang sangat Indah sambil menikmati pemandangan daerah bulu dari atas bukit ini, cocok juga untuk berkemah.",positif,,
2608,wbl,Kurang terawat,negatif,,
2613,wbl,"Lokasi strategis, lokasi depan jalan Pantura",,,positif
2890,gunung mas mantup,tidak ada fasilitas tempat makan dan minum yang memadai di sekitar objek wisata ini.,,negatif,
1837,pantai lorena,Strategis buka mulai pagi 05.00-2300 pinggir jln.akses Juanda T1,,,positif
2063,waduk gondang,Tempat yang tepat untuk berakhir pekan bersama keluarga.,positif,,
1976,waduk gondang,Ke sini pas sore hari jam 16:30. Begitu turun dari mobil langsung diserbu banyak nyamuk. Akhirnya masuk lagi ke mobil dan hanya berkeliling seputaran taman dan pulang lagi.,,negatif,
415,alun alun,"Pedagang untuk jajan disekitar sangat tidak recomended, mnding klw kesana bawa bekal sendiri dri pda nnti menyesal",,negatif,
2403,wbl,Pemandangan yang indah wahana lumayan banyak,positif,,
1234,gunung mas mantup,tambah kolam renang biar bagus,negatif,,
2619,wbl,Jalannya cukup rata sehingga pengunjung bisa berkendara dengan nyaman,,,positif
2143,wbl,Bagus,,,
1898,pantai lorena,Tempat yang baik untuk bersantai,positif,,
2686,wego,Bagus untuk rekreasi ada kolam renangnya juga harga 25.000,positif,,
2307,wbl,"Walau sudah lebih dari 10 thn, rumah sakit hantu masih favorit serunya.",positif,,
1258,gunung mas mantup,View bagus,positif,,
1212,gunung mas mantup,jalan masuk sempit dan tempat untuk berteduh masih kurang....agak panas jadinya....,,negatif,negatif
419,alun alun,"Tempat pijakan kaki setelah prusutan kurang pasir, jd kurang nyaman",,negatif,
453,alun alun,Ramah anak,positif,,
2738,wego,"Tempat edukasi untuk anak anak, kunjungi cenel YT Rodex Pro",positif,,
753,alun alun,"Bersih dan tertata rapi, cocok buat olahraga pagi atau sore hari",,positif,
1072,goa maharani,Baik untuk anak2 rekomendid,positif,,
1455,gunung pegat,Pemandangan dr sini trrlihat bguss sekali...subkhanallah,positif,,
2279,wbl,Anak-anak saya puas liburan di WBL.... Harga makanannya pun masih terjangkau,,positif,
235,alun alun,Tempatnya bersih nyaman,,positif,
86,alun alun,"Bagus, sudah tertata dengan baik, tapi sayang tidak disediakan tempat untuk mmemberi ASI",,negatif,
364,alun alun,"Tempatnya panas kalo siang, pohonnya kurang",negatif,,
913,goa maharani,"Edukatif untuk pengenalan hewan kepada anak sejak dini, hnya saja toilet nya kurang perawatan.",positif,negatif,
2677,wego,Lumayan bagus HTM terjangkau,positif,,
355,alun alun,Lumayan buat hiburan bareng keluarga,positif,,
2077,waduk gondang,"Sipp, udaranya seger",,positif,
2548,wbl,Tempat besar bgt.sebaiknya pengelola lebih menyediakan tempat berteduh lebih besar lg krn disini sangat panas bgt udaranya,,negatif,
740,alun alun,"Kalo pagi sampe sore sih disini terlihat bagus, tapi kalo udah malem kelihatan kumuh & agak horror, karena beberapa lampu taman ada yang tidak dinyalakan (yang lagi dimabuk asmara sih OKaja mungkin yaa  )
Tapi lumayan lah untuk tempat bermain anak
Bianglalanya selama ini belum terlihat berfungsi..",positif,negatif,
1947,pantai lorena,"Karena tempatnya di pinggir jalan raya, maka tempat ini sangat mudah dijangkau dan cocok untuk dikunjungi oleh siapa saja",,,positif
2534,wbl,Wisata Bahari jatim,,,
43,alun alun,"Bisa dibilang taman bermain yg cukup nyaman buat anak-anak,empat sampah cukup banyak tersedia disana.",,positif,
610,alun alun,Bersih nyaman jadinya,,positif,
1262,gunung mas mantup,Lumayan,,,
221,alun alun,"Alun2nya luas, banyak permainan anak2,",positif,,
59,alun alun,"Sebuah tempat yang nyaman untuk sejenak rehat. Dan bisa berlama bersama keluarga.

Ditengah kota..
Tapi nyaman sekalipun di tengah hari.
Sebab rindang nya pohon yang mulai meninggi..

Tata kota yang lumayan bagus.
Demikian",,positif,
2183,wbl,"Bagus dekat dengan laut,, enak buat liburan keluarga",positif,,
2571,wbl,"Kebersihan kurang ter kondiskan, n di Maharani zoo binatang nya kurus"" n banyak yg sakit.",,negatif,
1020,goa maharani,Apakah betul harimau disitu Kurus kering kerontang? Di IG & FB lagi rame,negatif,,
2055,waduk gondang,Tempatnya sangat asri dan harga masuknya terjangkau,positif,,
520,alun alun,di waktu sore banyak orang menjalankan aktiviti terutama olah raga,positif,,
1384,gunung pegat,Lumayan banyak view-nya mantap .   . .,positif,,
1700,pantai lorena,"Yang lelah saat bepergian melewati tempat ini bisa mampir untuk sejenak melepas dahaga, ada beberapa warung ditepi pantai buat istirahat sambil memandang perahu yang sedang berlayar 
Harga bersahabat",positif,positif,
824,alun alun,Kalau kesini yg pasti nyari sego boran,positif,,
223,alun alun,"Tempatnya bersih bangettttt deket sama masjid agung. Luas, recomended buat ajak-ajak ada tempat bermain",,positif,
1396,gunung pegat,Lokasi bagus banget...makanan di area enak anak dan murah,,positif,
