objek wisata,ulasan,atraksi,amenitas,aksesibilitas
goa maharani,Tempat wisata dengan berbagai macam hewan cocok untuk anak-anak untuk memperkenalkan berbagai macam binatang,positif,,
pantai kutang,"Akses jalan ke Pantai Kutang semakin membaik, sehingga semakin mudah bagi para wisatawan untuk mengunjungi tempat ini.",,,positif
waduk gondang,Bagus utk kumpul² dan liburan bersama keluarga,positif,,
pantai lorena,Bagus.. lumayan bersih,,positif,
pantai lorena,"Lumayan, tinggal penjual di pinggir pantai nya di tata dengan rapi",,negatif,
alun alun,Bagus daa tempat bermain dan dekat masjid agung,positif,positif,
wbl,Tempat bagus untuk wisata keluarga..,positif,,
wbl,Wahana bagus Bersih. ,,positif,
goa maharani,Sangat menyenangkan,positif,,
pantai kutang,Jaraknya lumayan jauh dari kota. Tapi setelah tiba di lokasi melihat pantainya yg indah cukup terbayar rasa lelah di perjalanannya..,positif,,positif
pantai lorena,Sore sore sambil ngopi di depan pantai.,,,
goa maharani,Koleksi lumayan beragam,positif,,
alun alun,Cocok utk santai bersama keluarga di sore hari sampai malam,positif,,
alun alun,"Alun-alun kota yang sangat bersih dan rapi. Bisa ajak anak main disini, tapi tetap harus diawasi karena tempat duduk betonnya bersudut runcing. Tersedia toilet yang sepertinya dikelola dengan baik, sehingga kondisinya tetap bersih dan nyaman.",positif,positif,
wbl,Tempat representatif untuk hiburan bersama keluarga,positif,,
wbl,Menyenangkan,,,
gunung pegat,"Tempat nyaman,indah dan menyenangkan recomended untuk wisata keluarga",positif,,
wbl,Naik wahana yang sangat sangat memuaskan,positif,,
alun alun,"Banyak orang jualan, cocok untuk bersantai, jogging. Halaman alun² luas dan sejuk banget banyak pepohonan",positif,positif,
pantai lorena,Banyak penjual makanan dgn harga terjangkau..,,positif,
goa maharani,Berasa lebih dekat dengan hewan,positif,,
wbl,Wahana air yg lengkap dan berbagai macam wahana lainya yg membuat perasaan enggan mau keburu pulang,positif,,
wbl,Kurang safety,negatif,,
pantai kutang,"Perlu di tambah lagi arena foto dan mainannya..
Makanan harga dan rasa standart
Kurang banyak tempat istirahat yg tanpa harus duduk di warung",negatif,negatif,
wbl,"Banyak wahana menarik, usahakan jangan di waktu libur semester.",positif,,
gunung pegat,Gunung pegat sungguh indah,positif,,
goa maharani,Ada hewan,positif,,
goa maharani,"Cocok buat keluarga edukasi anak"" tentang hewan,tpi sayang harimaunya kyk ga keurus ga disedianin tmpat buat minum pas kesana",positif,negatif,
wbl,Memuaskan wahananya,positif,,
wbl,Lewat az,,,
pantai lorena,"cocok banget kalo pengen nikmatin dawet siwalan sambil nikmatin pemandangan + angin semilir laut
harga makanan+minuman juga murah jadi cocok buat tempat wisata keluarga",positif,positif,
alun alun,"Menaiki wahana berputar raksasa ini jadi salah satu kegiatan favorit di Alun-Alun Lamongan. Dari ketinggian, pengunjung bisa melihat pemandangan Kota Lamongan sejauh nyaris 360 derajat. Jika berkunjung kemari, jangan sampai melewatkan naik salah satu ikon kota ini, ya!",positif,,
alun alun,"Tempatnya bagus,ada ciri khas Sego boranan.",positif,,
pantai lorena,Pemandangan menarik lokasi pinggir jalan raya jadi harus berhati-hati karena banyak kendaraan lewat jika ingin kesana,positif,,negatif
goa maharani,"Tempatnya bagus, ada bird show setiap jam 11.00 bagus untuk liburan anak anak bisa melihat langsung berbagai jenis hewan.",positif,,
goa maharani,Wisata edukasi tuk mengenalkan satwa ke si kecil,positif,,
alun alun,"Taman alun"" kota lamaongan kurang di rwat jadi tidak sedap d pandang,mainan komidi putarnya rusak tidak segera d perbaiki sehingga tidak bisa d nikmati.kolam air mancur dindingnya berlumut,tidak di bersihkan oleh unit lingkungan hidup.lampu banyak yg padam,sehingga d khawatirkan terjadi tindakan asusila.",,negatif,
alun alun,Suasananya sangat sejuk dilrngkapi dgn fasilitas yang sangat memadai,positif,positif,
waduk gondang,"Sejuk, nyaman",positif,positif,
alun alun,Bagus merakyat,,,
alun alun,"Tempat yang sangat iconik sih ini buat lamongan, strategis di tengah2 kota juga ada wahananya juga yang sekarang jadi tambah ikonik sih ini",positif,,positif
goa maharani,Mantaapp maszeeh,,,
wego,Tempatnya asik buat nongkrong.. tapi agak panas ketika musim kemarau..,positif,negatif,
wbl,Lokasinya jelas sangat indah wahananya banyak cocok untuk semua umur deh,positif,,
wbl,Wisata wahana yg sangat terjangkau. Cuma wahananya masih sama dan terkesan jadul. Ga banyak foto soalnya sibuk main,negatif,,
wbl,"WBL INI SERU SEKALII, tempatnya bagus, sejuk, nyaman, dan bersih. Cocok buat ide pose foto, dan disini saya punya kenangan yang indah",positif,positif,
alun alun,Indah nan mega kota soto,positif,,
goa maharani,Apakah betul harimau disitu Kurus kering kerontang? Di IG & FB lagi rame,negatif,,
alun alun,Cocok untuk mengajak anak-anak bermain,positif,,
goa maharani,"Wisata edukasi satwa yg berhadapan dengab WBL, sangat cocok buat anak anak..",positif,,
gunung mas mantup,Pemandangannya bagus. Tapi jalanannya rusak. Dan susah dilalui,positif,,negatif
goa maharani,"bbrp hewan disana seperti kurang terawat mgkn karena terlalu sepi, bahkan pd saat puasa kmrn tdk ada yg jual makanan di sana, hanya ada mie instant cup... Semoga kedepan bisa dibuat lebih menarik lagi sehingga semua kekurangan td bisa diperbaiki",negatif,negatif,
gunung pegat,Bagus,,,
waduk gondang,"Kren sipp pmandanganx,bguss suasana alam yg bgitu sgerr sjukk,adem poll pkok,e,,,mntaff,,,",positif,,
wbl,"salah satu taman hiburan di Kabupaten Lamongan! ada banyak wahana yang bisa dimainkan, harga tiketnya worth it banget!",positif,,
alun alun,Bersih,,positif,
alun alun,Banyak permainan,positif,,
wego,Tempatnya asri bgt,positif,,
gunung pegat,"Deket rumah, asri, murah, bisa sambil olah raga",positif,,
alun alun,"Tempatnya bagus, bersih dan rindang.. Nyaman ",positif,positif,
wbl,"Wahananya banyak, tiket terjangkau, masih sepi karna pandemi jadinya enak, gak perlu antri"" langsung naik aj.",positif,,
pantai kutang,Tempatnya bagus.. buat anak2 juga senang buat selfie . .untuk kebersihan pantai mohon di tingkatkan lagi.. agar bertambah elok..,positif,negatif,
wbl,Luar biasa dan di tambah kan lagi kalo ada kereta hantunya lebih serem,positif,,
goa maharani,Kebun binatangnya asik... bisa masuk ke tempat burung sayangnya kemarin pas kesana kuda poninya sedang tidak keluar..,positif,,
alun alun,tolong ditambahi lagi tempat sampahnya,,negatif,
pantai lorena,kotor,,negatif,
alun alun,Jangan lupa makan khas lamongan nasi Boran,positif,,
wbl,Bagus,,,
alun alun,"Banyak permainan untuk anak-anak, ada wahana bianglala juga, terus juga tamannya bagus dan asri,, bagus untuk foto"" Dan juga bagus untuk liburan bersama keluarga..",positif,,
waduk gondang,Tempat yang tepat untuk berakhir pekan bersama keluarga.,positif,,
alun alun,Bingung cari tempat parkir mobil kalo disekelilingnya udah penuh. Ada ferris wheel udah kayak alun alun batu,,negatif,
gunung pegat,Tempat wisata alami baru...,positif,,
wbl,Navigasi ke wisata bahari Lamongan menjadi sangat mudah berkat petunjuk arah yang jelas dan tertera di sepanjang jalan,,,positif
wbl,Mantabbb,,,
wbl,"Wahana seru, pantainya bagus, klo renang ditempat dewasa hrus pakek baju renang tpi ada tempat sewa baju renang sih",positif,positif,
alun alun,Bersih dan asri,positif,positif,
gunung pegat,view oke...,positif,,
gunung mas mantup,Akses jalan kurang bagus,,,negatif
alun alun,Lumayan bagus tempatnya,,,
wbl,Perlu perhatian lebih untuk kebersihan dll,,negatif,
alun alun,Bagus bersih juga,,positif,
gunung mas mantup,Akses jalan kurang bagus,,,negatif
alun alun,"Wajar sepi kalau dibanding yg dulu, terus lampu2 di bagian tempat bermain anak2 bisa diperbanyak karena terkesan remang remang",,negatif,
alun alun,Tempatnya aman dan nyaman buat rekreasi bareng keluarga karna tempat penjualanya sudah diatur ,,positif,
alun alun,"Banyak wahana main di taman spt ayunan, perosotan, jungkat-jungkit, peralatan olahraga, air mancur, bianglala, sarang burung, dsb ",positif,,
wbl,Alhamdulillah supir udh diperhatikan sama pihak pengelola wisata dengan diberi banus walaupun cm makan minum ma snak luar biasa. Makasih WBL.,,positif,
alun alun,"Taman bagus, alun-alun nyaman untuk ngemong anak",positif,positif,
gunung pegat,"Hening ,,damai",positif,,
goa maharani,"Lama udah g mampir lagi,tp ceritanya seru banget.",,,
gunung mas mantup,Lumayan buat refreshing,positif,,
wbl,"Tempat wisata dgn banyak pemainan anak²,dewasa dan ada juga satwa tempat edukasi anak.cocok untuk keluarga dan muda mudi.lokasi panas terik matahari,kurang pepohonan...bawa bekal di ijinkan.untuk yg gak bawa bekal tenang aja,makanan disini gak mahal kayak di wahana wisata lain yg setara.",positif,positif,
waduk gondang,Tempatnya sejuk dan asri.. Cocok buat nongkrong karena tiket masuknya muraaahh banget,positif,,
pantai lorena,Pantainya bagus,positif,,
alun alun,Bagus dan bersih alun2nya. Tertata dengan rapih juga baik parkir maupun pedagang kaki limanya. Sholat di masjid agung juga nyaman banget. Mantablah Lamongan,,positif,
alun alun,"Fasilitas banyak yg rusak, perlu perbaikan & perawatan , untuk area bermain anak2 bayak yg tidak terawat,",,negatif,
gunung mas mantup,panas....kurang pas lokasinya di maps sampai nyasar2....bagus sih tempatnya lebar & luas…,positif,,negatif
pantai kutang,Pariwisata Murah...sayangnya kebersihan lingkungan kurang terjaga...,,negatif,
goa maharani,Mantap,,,
wbl,"tempat wisata yang nyaman untuk anak-anak dan dewasa, dengan harga tiket yang kompetitif",positif,,
wbl,lumayan menghibur bagi anak2. pinggir pantai,positif,,
alun alun,gak ada tempat cuci tangan,,negatif,
goa maharani,"saya tertipu saat beli oleh2 trnyata snack yg saya beli pas drmh dibuka dah beraroma ga enak klo orng jawa bilang ""tengik"". jd klo mau beli oleh2 mesti teliti.",,negatif,
gunung pegat,View nya cakep,positif,,
waduk gondang,Asri dan nyaman,positif,positif,
alun alun,Referensi untuk Minggu ceria,,,
goa maharani,"Harimau disini baik2,mau diajak selvi..
Ga nyesel deh kunjung ksn
Recomended",positif,,
gunung mas mantup,Baguss buat spot foto..agak bahaya buat anak anak,positif,negatif,
alun alun,ada permainan biang lala tetapi jarang sekali beroperasi,negatif,,
gunung mas mantup,daya tariknya kurang,negatif,,
wego,"Wego Lamongan, sebelumnya telah membuat aku penasaran. Eh ternyata sesudah melihatnya memang bagus. Wahananya lengkap deh. Spot fotonya juga banyak. Cocok untuk anak2, remaja atau orang dewasa. Bagus deh.",positif,,
goa maharani,Hmm .. area terasa sunyi .. g terdengar Musik .. mungkin hewanya g suka musik kalii .. huuft jd bt ..,negatif,,
alun alun,"Cukup representatif untuk rekreasi keluarga, tetep jaga prokes ya gaeesss",positif,,
alun alun,"Makin bagus, rapi, bersih, dan nyaman ",,positif,
goa maharani,Tempat yang nyaman untuk anak anak..,,positif,
alun alun,"Bagus, cuma agak kotor. Sudah ada tempat sampah, hanya kesdaran masing². Permainan anak banyak yg sudah rusak, tp anak² happy",,negatif,
alun alun,Tempat orang cari makan khas nasi barong,,positif,
alun alun,Senang sekali.. Tempat bagus bersih dan tertata rapi ,positif,positif,
gunung pegat,"Sebuah tempat yang begitu berkesan
Cobalah datang saat mentari pagi hendak mengintip, viewnya bakalan terlihat cantik.
Tempat ini kalau hari minggu ada semacam pasar kulinernya dgn menu2 makanan daerah. Skrg sudah ditambah spot2 foto.
Kalau suka explore, bisa naik ke atas bukit yg ada di belakang, di atas area camp ground",positif,positif,
alun alun,"Bagus,, byk tempat bermain",positif,,
pantai lorena,Menyantap makanan dengan suasana pesisir laut yang indah,positif,,
waduk gondang,"Tempat kotor, jumlah tempat sampah tidak sebanding dg pengunjung. Saran untuk di tambah tempat sampah di setiap sudut tempat. Banyak wahana bermain yg rusak. Banyak pedagang jajanan dan lainnya",negatif,negatif,
alun alun,Pengen naik bianglala nya tapi ga buka2,negatif,negatif,
wbl,"Good place for recreation..
Nyaman buat klg dg baby n balita juga utk lansia krn minim tangga.. Dekat dg pujasera di setiap wahana...
Wahana utk remaja ekstreembroo...
Dg htm terjangkau n toilet yg bersih n lahan parkir yg luas Wes pokoke view e apik dan tidak mengecewakan ...",positif,positif,
pantai lorena,bagus indah pemandangannya,positif,,
alun alun,Tempatnya bersih dan bagus,,positif,
alun alun,"Bersih, nyaman klo untuk jogging",,positif,
wego,Masa pandemi agak sepi,,,
alun alun,"Air mancur nya kotor gk dibersihin, banyak tikus yg berenang",,negatif,
gunung pegat,Udara enak seger,positif,,
alun alun,sangat bersih,,positif,
wbl,Wahana untuk dewasa kurang,negatif,,
wbl,"Tempat wisata di Lamongan paling luar biasa serunya, pelayanan sangat ramah, ke Lamongan wajib mampir ",positif,positif,
wbl,"Banyak permainan dengan tiket full,  pagi sampai sore berasa happy",positif,,
wbl,Tempat mulai rusak,negatif,,
pantai kutang,Untuk yg baru ke sini lebih baik ikutin google maps. Karena petunjuk jalan masih minim. Masuk ke kampung dg kondisi jalan yg tidak terlalu lebar.,,,negatif
gunung pegat,Wisata keluarga sangat murah meriah dan sangat indah pemandangannya.,positif,,
wbl,Bagus dan nyaman,,,
pantai kutang,Tempatnya nyaman buat anak anak bermain...& bersih... Indah banyak spot foto,positif,positif,
goa maharani,Tempat yang bagus untuk memperkenalkan hewan kepada anak-anak & keluarga,positif,,
alun alun,indah asri... kaget setelah 2 tahun di Negeri Orang.. baru kmrin sempat main ke Alun2 udah banyak yg berubah.. dan tentunya makin indah..,positif,,
wbl,Bagusss,,,
gunung mas mantup,bagus,,,
wego,Mohon untuk kamar mandinya di perbanyak ya..,,negatif,
wbl,Tdk terawat,,negatif,
wbl,Banyak permainanya dan cocok untuk anak2 dan dewasa,positif,,
alun alun,Rehat nyaman,,positif,
pantai lorena,"Lumayan tmptnya
Kulinernya enak",,positif,
gunung pegat,"Fasilitas kurang lengkap, tp gpp untuk pemandangan kumayan cakep",positif,negatif,
alun alun,Bersih rapi,,positif,
alun alun,Nyaman luas dan banyak fasilitas,,positif,
gunung pegat,Keren viewnya. Bisa naik sepeda sampai atas bukit. Mobil bisa naik ke lokasi langsung. Banyak spot keren buat selfie. Top dah.  ,positif,,positif
goa maharani,Hewannya kurang lengkap dan kurang keurus,negatif,,
pantai lorena,"Lebih cocok kalau kesana waktu pagi dan sore hari.
Yang kurang itu tempat parkirnya",positif,negatif,
alun alun,Alun-alun yang letaknya strategis di tengah kota memudahkan orang-orang untuk mengunjungi tempat ini,,,positif
gunung mas mantup,spot fotonya menarik,positif,,
alun alun,Banyak tempat duduk untuk istirahat sejenak sambil menikmati megahnya masjid.,,positif,
alun alun,Luar biasa Lamongan,,,
alun alun,Semakin keren bersih dan nyaman enak buat nongkrong apalagi malam Minggu dan pas jg buat jogging,,positif,
pantai lorena,Hanyut terasa karena sering tiap sore healing di sini..,positif,,
gunung mas mantup,"Tidak ada banyak aktivitas yang bisa dilakukan di tempat ini, hanya sebatas berfoto.",negatif,,
wbl,"Nice place to refreshing...
Masih sepi, untuk kebersihan sarana perlu ditingkatkan (mushola)",,negatif,
goa maharani,"Maharani zoo and goa memberikan pengalaman baru bagi anak2, mengenai satwa. Ada harimau, kudanil, beraneka jenis burung dan lain2.

Selengjalnya ada di youtube chanel kami Jelajah family",positif,,
pantai kutang,"Pantai tidak terlalu luas, tp cukup bagus si ada gazebo juga, cuma masih banyak sampah",,negatif,
alun alun,"Dinas terkait banyak tidurnya.
lampu rusak mainan rusak sdh 7tahun dibiarkan. dan membahayakan anak kecil.
Kebersihan lumayan.",,negatif,
goa maharani,koleksi binatang masih kurang lengkap,negatif,,
alun alun,Cocok untuk rekreasi bersama keluarga,positif,,
alun alun,"banyak wahana, namun beberapa ada yg tdk bisa berfungsi dgn baik. Ketika sore suasana sangat ramai, mungkin orang lamongan butuh lebih banyak ruang bermain anak/taman sejenis selain di alun-alun",positif,negatif,
alun alun,"cocok untuk bersantai bersama keluarga siang/malam, tempat luas ada playground, sarana olah raga, kandang burung, air mancur. dekat pusat perbelanjaan.. perlu kepedulian dari pihak pengelola dan pengunjung agar sarana fasilitas awet.",positif,,
goa maharani,"Banyak satwa yg menarik untuk anak2, ditambah ada kolam renang mini yg membuat anak2 lebih senang lagi.",positif,,
wbl,Keren,,,
alun alun,Kurang terawat,,negatif,
waduk gondang,"Tempat wisata G-park gondanglor pemandangan sangat bagus, suasana sejuk,",positif,,
waduk gondang,sudah bnyak berubah. bnyak mainan anak dan spot2 baru,positif,,
alun alun,"Nyaman, asri dan bersih",positif,positif,
alun alun,Tempatny aman dan nyaman,,positif,
wbl,"jam buka molor,uda masuk didalam masih blm siap",,negatif,
alun alun,"Lumayan bagus. Cuma sayangnya bianglalanya tidak di fungsikan, padahal bagus kalau naik dan lihat pemandangan dari atas. Semoga segera diperbaiki kembali.",negatif,,
waduk gondang,Udara yang segar sejuk dan masih alami,positif,,
pantai kutang,"Bagus, sayangnya masih banyak sampah berserakan",,negatif,
alun alun,"Pertama kali kesini, diajakin someone but no bf. Ini kota dia, hehe. Bianglala nya lg gk hidup jd gak bisa naik. Kapan-kapan main kesini lagi ya, btw alun-alun nya bagus",negatif,,
